image_name,prompt,seed,cfg_scale,steps,sampler,source_json,image_path,prompt_length,blip_caption
12a24462-4dac-43c1-a145-89a25c72d815.png,"a surreal * * cognitive illusion * * of the key of the universe, by oleg shupliak and jeffrey smith, oil on canvas, surrealism ",2834113187,7.0,50,k_lms,part-000003.json,/content/images/part-000003/12a24462-4dac-43c1-a145-89a25c72d815.png,24,a painting of a man standing in front of a giant planet
321da869-d2ce-49a0-b474-8c7650f5836a.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, octane render fox scientist ",1732026299,7.5,50,k_lms,part-000003.json,/content/images/part-000003/321da869-d2ce-49a0-b474-8c7650f5836a.png,36,a futuristic room with a large red and blue light
da698170-63cc-4ef9-81b7-44bd2bb51981.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, octane render, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting ",1732026299,7.0,50,k_lms,part-000003.json,/content/images/part-000003/da698170-63cc-4ef9-81b7-44bd2bb51981.png,34,a futuristic city with lots of machinery and machinery
aa221b88-e288-4373-8303-8dbaee77d793.png,"a surreal * * cognitive illusion * *, the key of the universe, by oleg shupliak and jeffrey smith, oil on canvas, afrofuturism!, surrealism, astrophotography ",175455720,7.0,50,k_lms,part-000003.json,/content/images/part-000003/aa221b88-e288-4373-8303-8dbaee77d793.png,25,"the cover art for the album, ' the end of the world '"
1642d94e-89db-4cca-9f84-66d7bad4f196.png,"moon, vector! pop art, soft line, bright, colorful, clean, cutout ",1692096754,7.0,50,k_lms,part-000003.json,/content/images/part-000003/1642d94e-89db-4cca-9f84-66d7bad4f196.png,10,a colorful painting with a circular design
e2b680e3-a206-4b34-b8d3-0de45d9b7663.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render ",3987291150,7.5,50,k_lms,part-000003.json,/content/images/part-000003/e2b680e3-a206-4b34-b8d3-0de45d9b7663.png,34,a futuristic city with lots of machines and machinery
7fccb4de-15bc-4c56-b8b7-fe1a0682a947.png,"a surreal * * cognitive illusion * *, the key of the universe, by oleg shupliak and jeffrey smith, oil on canvas, afrofuturism!, surrealism, astrophotography ",2729683773,7.0,50,k_lms,part-000003.json,/content/images/part-000003/7fccb4de-15bc-4c56-b8b7-fe1a0682a947.png,25,a poster of a robot with a large head
81c78853-a1c1-4300-bc1e-06415a1c8ea1.png,"portrait character design a young cute fluffy panda character, style of maple story and zootopia, 3 d animation demo reel, portrait studio lighting by jessica rossier and brian froud and gaston bussiere ",4146503899,7.0,50,k_lms,part-000003.json,/content/images/part-000003/81c78853-a1c1-4300-bc1e-06415a1c8ea1.png,32,a bunch of pandas with different expressions
38a842f3-f084-4c8a-b5ed-e3f4160890dc.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render ",1732026299,7.0,50,k_lms,part-000003.json,/content/images/part-000003/38a842f3-f084-4c8a-b5ed-e3f4160890dc.png,34,a futuristic city with lots of red and blue lights
2d597acb-0319-455a-9180-e71897d00fed.png,"photo cartoon illustration comic manga painting of super market environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",837270071,7.0,50,k_lms,part-000003.json,/content/images/part-000003/2d597acb-0319-455a-9180-e71897d00fed.png,41,a city with lots of neon lights and neon lights
3f0795e5-6cae-47cb-9cfe-fc45af5a61d8.png,"christian bale as a 1 8 5 0 s sci - fi soldier eldrad, volumetric dark natural light, dark enlightenment, alchemy, albedo, oil on canvas, by zdzislaw beksinski, jack kirby, tom lovell, alex malveda, greg staples ",2428659151,11.5,50,k_lms,part-000003.json,/content/images/part-000003/3f0795e5-6cae-47cb-9cfe-fc45af5a61d8.png,36,a man with a helmet and a beard
2b8791cf-39d9-440e-b087-b828007656f7.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render artstation artstation artstation artstation artstation artstation ",3987291150,7.0,50,k_lms,part-000003.json,/content/images/part-000003/2b8791cf-39d9-440e-b087-b828007656f7.png,40,a room with a machine and a man working on it
d57f1e5c-9507-4a6e-8a9e-5507b5ca066c.png,"woman on moon, stars, watercolor, face, funny, laughter, vector! pop art, soft line, bright, colorful, clean, cutout, gauche ",2978021230,7.0,50,k_lms,part-000003.json,/content/images/part-000003/d57f1e5c-9507-4a6e-8a9e-5507b5ca066c.png,18,a painting of a woman with stars in the background
1ef01d80-a376-471e-8e80-4903ae2ba872.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, artstation ",3987291150,7.0,50,k_lms,part-000003.json,/content/images/part-000003/1ef01d80-a376-471e-8e80-4903ae2ba872.png,33,a room with a lot of junks and junks
be07ca1a-0c44-414d-a664-993320b5b2da.png,"a surreal * * cognitive illusion * * of the silver surfer with dreadlocks, by oleg shupliak and jeffrey smith, oil on canvas, afrofuturism!, surrealism, astrophotography ",3508775086,7.0,50,k_lms,part-000003.json,/content/images/part-000003/be07ca1a-0c44-414d-a664-993320b5b2da.png,26,a painting of a woman with dread dread hair
b01fd2b5-f97d-4711-902c-ecded28f0131.png,"the gates of heaven, beautiful delicacy, flowing arab art nouveau architecture, repeating patterns, tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, trending on artstation, cinematic composition, beautiful lighting, hyper detailed, 8 k, oil on canvas ",2066318078,15.0,50,k_lms,part-000003.json,/content/images/part-000003/b01fd2b5-f97d-4711-902c-ecded28f0131.png,35,a painting of a man walking through a hallway in a palace
74d03761-1acd-4de5-9901-eeea2a2f047e.png,"a surreal * * cognitive illusion * *, galactic flower garden, by oleg shupliak and jeffrey smith and dan mumford, oil on canvas, afrofuturism!, surrealism, astrophotography ",1004038029,7.0,50,k_lms,part-000003.json,/content/images/part-000003/74d03761-1acd-4de5-9901-eeea2a2f047e.png,26,"a painting of a large, colorful, psychedelicly looking landscape"
