image_name,prompt,seed,cfg_scale,steps,sampler,source_json,image_path,prompt_length
12a24462-4dac-43c1-a145-89a25c72d815.png,"a surreal * * cognitive illusion * * of the key of the universe, by oleg shupliak and jeffrey smith, oil on canvas, surrealism ",2834113187,7.0,50,k_lms,part-000003.json,/content/images/part-000003/12a24462-4dac-43c1-a145-89a25c72d815.png,24
321da869-d2ce-49a0-b474-8c7650f5836a.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, octane render fox scientist ",1732026299,7.5,50,k_lms,part-000003.json,/content/images/part-000003/321da869-d2ce-49a0-b474-8c7650f5836a.png,36
da698170-63cc-4ef9-81b7-44bd2bb51981.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, octane render, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting ",1732026299,7.0,50,k_lms,part-000003.json,/content/images/part-000003/da698170-63cc-4ef9-81b7-44bd2bb51981.png,34
aa221b88-e288-4373-8303-8dbaee77d793.png,"a surreal * * cognitive illusion * *, the key of the universe, by oleg shupliak and jeffrey smith, oil on canvas, afrofuturism!, surrealism, astrophotography ",175455720,7.0,50,k_lms,part-000003.json,/content/images/part-000003/aa221b88-e288-4373-8303-8dbaee77d793.png,25
1642d94e-89db-4cca-9f84-66d7bad4f196.png,"moon, vector! pop art, soft line, bright, colorful, clean, cutout ",1692096754,7.0,50,k_lms,part-000003.json,/content/images/part-000003/1642d94e-89db-4cca-9f84-66d7bad4f196.png,10
e2b680e3-a206-4b34-b8d3-0de45d9b7663.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render ",3987291150,7.5,50,k_lms,part-000003.json,/content/images/part-000003/e2b680e3-a206-4b34-b8d3-0de45d9b7663.png,34
7fccb4de-15bc-4c56-b8b7-fe1a0682a947.png,"a surreal * * cognitive illusion * *, the key of the universe, by oleg shupliak and jeffrey smith, oil on canvas, afrofuturism!, surrealism, astrophotography ",2729683773,7.0,50,k_lms,part-000003.json,/content/images/part-000003/7fccb4de-15bc-4c56-b8b7-fe1a0682a947.png,25
81c78853-a1c1-4300-bc1e-06415a1c8ea1.png,"portrait character design a young cute fluffy panda character, style of maple story and zootopia, 3 d animation demo reel, portrait studio lighting by jessica rossier and brian froud and gaston bussiere ",4146503899,7.0,50,k_lms,part-000003.json,/content/images/part-000003/81c78853-a1c1-4300-bc1e-06415a1c8ea1.png,32
38a842f3-f084-4c8a-b5ed-e3f4160890dc.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render ",1732026299,7.0,50,k_lms,part-000003.json,/content/images/part-000003/38a842f3-f084-4c8a-b5ed-e3f4160890dc.png,34
2d597acb-0319-455a-9180-e71897d00fed.png,"photo cartoon illustration comic manga painting of super market environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",837270071,7.0,50,k_lms,part-000003.json,/content/images/part-000003/2d597acb-0319-455a-9180-e71897d00fed.png,41
3f0795e5-6cae-47cb-9cfe-fc45af5a61d8.png,"christian bale as a 1 8 5 0 s sci - fi soldier eldrad, volumetric dark natural light, dark enlightenment, alchemy, albedo, oil on canvas, by zdzislaw beksinski, jack kirby, tom lovell, alex malveda, greg staples ",2428659151,11.5,50,k_lms,part-000003.json,/content/images/part-000003/3f0795e5-6cae-47cb-9cfe-fc45af5a61d8.png,36
2b8791cf-39d9-440e-b087-b828007656f7.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render artstation artstation artstation artstation artstation artstation ",3987291150,7.0,50,k_lms,part-000003.json,/content/images/part-000003/2b8791cf-39d9-440e-b087-b828007656f7.png,40
d57f1e5c-9507-4a6e-8a9e-5507b5ca066c.png,"woman on moon, stars, watercolor, face, funny, laughter, vector! pop art, soft line, bright, colorful, clean, cutout, gauche ",2978021230,7.0,50,k_lms,part-000003.json,/content/images/part-000003/d57f1e5c-9507-4a6e-8a9e-5507b5ca066c.png,18
1ef01d80-a376-471e-8e80-4903ae2ba872.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, artstation ",3987291150,7.0,50,k_lms,part-000003.json,/content/images/part-000003/1ef01d80-a376-471e-8e80-4903ae2ba872.png,33
be07ca1a-0c44-414d-a664-993320b5b2da.png,"a surreal * * cognitive illusion * * of the silver surfer with dreadlocks, by oleg shupliak and jeffrey smith, oil on canvas, afrofuturism!, surrealism, astrophotography ",3508775086,7.0,50,k_lms,part-000003.json,/content/images/part-000003/be07ca1a-0c44-414d-a664-993320b5b2da.png,26
b01fd2b5-f97d-4711-902c-ecded28f0131.png,"the gates of heaven, beautiful delicacy, flowing arab art nouveau architecture, repeating patterns, tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, trending on artstation, cinematic composition, beautiful lighting, hyper detailed, 8 k, oil on canvas ",2066318078,15.0,50,k_lms,part-000003.json,/content/images/part-000003/b01fd2b5-f97d-4711-902c-ecded28f0131.png,35
74d03761-1acd-4de5-9901-eeea2a2f047e.png,"a surreal * * cognitive illusion * *, galactic flower garden, by oleg shupliak and jeffrey smith and dan mumford, oil on canvas, afrofuturism!, surrealism, astrophotography ",1004038029,7.0,50,k_lms,part-000003.json,/content/images/part-000003/74d03761-1acd-4de5-9901-eeea2a2f047e.png,26
12d6282e-ce5f-4446-8185-c10493c1d49e.png,"photo cartoon illustration comic manga painting of cloakroom environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",1582655079,7.0,50,k_lms,part-000003.json,/content/images/part-000003/12d6282e-ce5f-4446-8185-c10493c1d49e.png,40
2e108b80-f30d-4aaa-83af-c8514ad83c91.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, super sharp, volumetric lighting, artstation ",3685331424,7.0,50,k_lms,part-000003.json,/content/images/part-000003/2e108b80-f30d-4aaa-83af-c8514ad83c91.png,35
d5a03f3f-2a8b-4132-9afa-e620bb1ae515.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render artstation artstation artstation artstation artstation artstation ",3987291150,-25.0,50,k_lms,part-000003.json,/content/images/part-000003/d5a03f3f-2a8b-4132-9afa-e620bb1ae515.png,40
390c7e93-d6ba-4c1d-a7b4-f329391d3887.png,"symmetry!, a surreal * * cognitive illusion * * of a black girl in a galactic flower garden, by oleg shupliak and jeffrey smith and dan mumford, oil on canvas, afrofuturism!, surrealism, astrophotography ",2552889754,7.0,50,k_lms,part-000003.json,/content/images/part-000003/390c7e93-d6ba-4c1d-a7b4-f329391d3887.png,33
63714301-41d9-46d3-ada5-d4b5ae6c7719.png,"photo cartoon illustration manga painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, artstation ",1732026299,7.0,50,k_lms,part-000003.json,/content/images/part-000003/63714301-41d9-46d3-ada5-d4b5ae6c7719.png,34
881276e7-9bdf-49fd-a06c-789789a12003.png,"photo manga illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render artstation artstation artstation artstation artstation artstation ",3987291150,15.0,50,k_lms,part-000003.json,/content/images/part-000003/881276e7-9bdf-49fd-a06c-789789a12003.png,40
b381a6b3-11a0-47e1-9d9d-80e437432df3.png,"a surreal * * cognitive illusion * *, galactic flower garden, by oleg shupliak and jeffrey smith and dan mumford, oil on canvas, afrofuturism!, surrealism, astrophotography ",2814633108,7.0,50,k_lms,part-000003.json,/content/images/part-000003/b381a6b3-11a0-47e1-9d9d-80e437432df3.png,26
aee4e43c-72cf-4c16-b062-6febe0647013.png,"photo cartoon illustration comics painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, artstation ",3987291150,7.0,50,k_lms,part-000003.json,/content/images/part-000003/aee4e43c-72cf-4c16-b062-6febe0647013.png,34
a5b18bd3-3631-458d-9ee0-b4fd7f85a859.png,"photo manga illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render artstation artstation artstation artstation artstation artstation ",3987291150,7.0,50,k_lms,part-000003.json,/content/images/part-000003/a5b18bd3-3631-458d-9ee0-b4fd7f85a859.png,40
8d9b0f6e-7eae-497d-9e9f-50fed10bb343.png,"a surreal * * cognitive illusion * *, galactic flower garden, by oleg shupliak and jeffrey smith and thomas kinkade, oil on canvas, afrofuturism!, surrealism, astrophotography ",2865758934,7.0,50,k_lms,part-000003.json,/content/images/part-000003/8d9b0f6e-7eae-497d-9e9f-50fed10bb343.png,26
29a7f121-fb3d-4289-af9b-2397fd961229.png,"a surreal * * cognitive illusion * *, galactic flower garden, by oleg shupliak and jeffrey smith and thomas kinkade and wayne barlowe, oil on canvas, afrofuturism!, surrealism, astrophotography ",823037051,7.0,50,k_lms,part-000003.json,/content/images/part-000003/29a7f121-fb3d-4289-af9b-2397fd961229.png,29
84247197-c4cb-44ea-884e-1f283d3d8405.png,"photo manga illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon monitor lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render artstation artstation artstation artstation artstation artstation ",3506481270,7.0,50,k_lms,part-000003.json,/content/images/part-000003/84247197-c4cb-44ea-884e-1f283d3d8405.png,41
31856df3-e599-40b5-84a9-490ae2583357.png,"photo manga illustration comics painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, artstation ",3987291150,7.0,50,k_lms,part-000003.json,/content/images/part-000003/31856df3-e599-40b5-84a9-490ae2583357.png,34
31c31e07-4f8a-4e66-976d-a88df41b62be.png,"gnostic goddess, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",3924448554,7.0,50,k_lms,part-000003.json,/content/images/part-000003/31c31e07-4f8a-4e66-976d-a88df41b62be.png,23
71ea0e92-bac1-4015-9b07-c5599c2f11b4.png,"photo manga illustration blueprint of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render artstation artstation artstation artstation artstation artstation ",3685331424,7.0,50,k_lms,part-000003.json,/content/images/part-000003/71ea0e92-bac1-4015-9b07-c5599c2f11b4.png,40
e24eaff1-3bce-4f28-a317-12636ca4c6ce.png,"photo manga illustration comics painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, artstation ",3506481270,7.0,50,k_lms,part-000003.json,/content/images/part-000003/e24eaff1-3bce-4f28-a317-12636ca4c6ce.png,32
6ab069f6-5feb-4e83-b6fd-7a35f76b33e8.png,hybrid crossbred chimera animal of a cat and a sloth. photorealistic. highly detailed digital concept art. ,2814591497,7.0,50,k_lms,part-000003.json,/content/images/part-000003/6ab069f6-5feb-4e83-b6fd-7a35f76b33e8.png,16
6d352787-733a-4ba0-b266-20e43743d4ad.png,"a surreal * * cognitive illusion * *, galactic flower garden afro girl, by oleg shupliak and jeffrey smith and thomas kinkade, oil on canvas, afrofuturism!, surrealism, astrophotography ",2148101345,7.0,50,k_lms,part-000003.json,/content/images/part-000003/6d352787-733a-4ba0-b266-20e43743d4ad.png,28
e7892abf-9ad6-42be-a4f9-0595539f0dad.png,"concept art of octopus attack, lovecraftian, lots of teeth, melting horror, fighting the horrors of the unknown with laser guns ",2077066986,7.0,50,k_lms,part-000003.json,/content/images/part-000003/e7892abf-9ad6-42be-a4f9-0595539f0dad.png,20
